soc,power
0.084,162.7
0.096,188.6
0.125,189.9
0.154,184.1
0.182,176.1
0.211,168.7
0.24,158.4
0.269,149.5
0.297,140.6
0.326,131.4
0.355,122.9
0.383,114.5
0.412,105.2
0.441,95.8
0.469,87.9
0.498,80.2
0.527,75.1
0.556,72.2
0.584,70.3
0.613,67.6
0.642,64.4
0.67,60.8
0.699,57.7
0.728,54.8
0.757,51.2
0.785,47.1
0.814,43.6
0.843,40.9
0.871,38.3
